Total,Cited,Not Cited,% Cited,% Not Cited,author,year,Authors,Harvard Citation 1,Harvard Citation 2,Harvard Cite 1,Harvard Cite 2,Number of times Cited,Other citations for Author
4.0,4.0,0.0,100.0,0.0,,,,,,,,,
,,,,,"['Bhandari, A.']",['2024'],1.0,Bhandari (2024),"(Bhandari, 2024)",❌,✔,1,-
,,,,,"['Galli, S.']",['2022'],1.0,Galli (2022),"(Galli, 2022)",❌,❌,Not cited/Havard,-
,,,,,"['Sharma, G.']",['2022'],1.0,Sharma (2022),"(Sharma, 2022)",❌,✔,1,-
,,,,,"['Verma, S.']",['2023'],1.0,Verma (2023),"(Verma, 2023)",❌,✔,1,-
